lat, lon, mat_anm_mean, mat_se_mean, mat_tstat,mat_sig, mat_sig_val,mat_npts,p
69,-139,-0.2188,0.8006,-0.2733,0,0,3,0.570213733
69,-145,4.1047,0.8024,5.1157,1,4.1047,3,0.569516026
-39,175,-0.35,0.8034,-0.4356,0,0,4,0.569128941
61,91,-2.9,0.8053,-3.6009,-1,-2.9,4,0.568394519
61,39,0.1167,0.8085,0.1443,0,0,3,0.567160675
53,1,0.795,0.8108,0.9805,0,0,3,0.566276231
47,-53,0.372,0.8112,0.4586,0,0,3,0.566122618
59,-7,-0.4933,0.8139,-0.6062,0,0,3,0.5650873
69,-147,0.4753,0.8155,0.5828,0,0,3,0.564475069
63,-129,3.3567,0.8161,4.113,1,3.3567,3,0.564245729
-33,19,7.5,0.8163,9.1878,1,7.5,1,0.564169312
39,109,-3.8,0.8163,-4.6552,-1,-3.8,1,0.564169312
31,117,3.6,0.8163,4.4101,1,3.6,1,0.564169312
43,9,-0.4148,0.8165,-0.5079,0,0,4,0.564092911
25,11,5.35,0.8167,6.5506,1,5.35,2,0.564016524
53,109,-2.2,0.826,-2.6636,-1,-2.2,4,0.560481039
49,31,1.0308,0.8267,1.2468,0,0,4,0.560216231
69,13,-0.658,0.8304,-0.7924,0,0,3,0.558819551
51,107,1.675,0.8304,2.0171,1,1.675,4,0.558819551
41,115,0.2333,0.8304,0.281,0,0,3,0.558819551
69,29,0.3765,0.8337,0.4516,0,0,4,0.557578141
71,31,0.063,0.8337,0.0756,0,0,4,0.557578141
55,-69,-0.839,0.8379,-1.0014,0,0,2,0.556003983
41,75,4.35,0.8389,5.1856,1,4.35,2,0.555630142
69,19,0.3385,0.8394,0.4032,0,0,4,0.555443359
-1,29,-0.75,0.8412,-0.8916,0,0,3,0.554771703
47,-113,0.21,0.8417,0.2495,0,0,1,0.554585343
23,117,-2.8667,0.843,-3.4005,-1,-2.8667,3,0.554101237
67,-149,0.6321,0.8436,0.7492,0,0,3,0.553878012
59,-45,-1.965,0.8469,-2.3202,-1,-1.965,2,0.552652634
45,1,-1.1347,0.8487,-1.337,0,0,3,0.551985925
51,-5,1.0567,0.8565,1.2337,0,0,3,0.549110503
49,7,3.276,0.8565,3.825,1,3.276,3,0.549110503
63,7,1.599,0.8598,1.8598,0,0,2,0.547900632
-35,19,6.9,0.8673,7.9557,1,6.9,1,0.545165565
-19,49,0.8,0.8673,0.9224,0,0,1,0.545165565
51,-91,-2.13,0.872,-2.4427,-1,-2.13,1,0.543461909
69,17,-1.4407,0.8771,-1.6424,0,0,3,0.541622214
37,-85,-0.939,0.8784,-1.069,0,0,1,0.541154757
57,33,-0.22,0.8814,-0.2496,0,0,3,0.540078309
31,-85,-1.14,0.892,-1.278,0,0,1,0.536300425
37,101,0,0.8929,0,0,0,1,0.535981489
45,23,2.269,0.8947,2.5359,1,2.269,3,0.535344472
35,47,-2.951,0.8947,-3.2981,-1,-2.951,3,0.535344472
13,11,-0.1,0.8977,-0.1114,0,0,3,0.534285307
39,-1,-3.4833,0.8993,-3.8734,-1,-3.4833,3,0.533721709
59,-123,-5.89,0.9022,-6.5285,-1,-5.89,1,0.532702471
47,11,0.5383,0.9039,0.5956,0,0,3,0.532106352
33,-79,0.617,0.9045,0.6821,0,0,1,0.531896197
39,117,-0.6667,0.9067,-0.7353,0,0,3,0.531126704
49,75,-0.5,0.9071,-0.5512,0,0,2,0.530986977
45,123,-1.6333,0.9111,-1.7927,0,0,3,0.529592762
69,87,1.65,0.9127,1.8078,0,0,4,0.52903663
53,39,-1.7,0.913,-1.862,0,0,2,0.528932453
65,141,-2.3,0.9167,-2.5091,-1,-2.3,2,0.527650168
41,15,-0.9167,0.9181,-0.9985,0,0,3,0.52716621
67,21,0.582,0.9181,0.6339,0,0,3,0.52716621
67,53,-0.2927,0.9209,-0.3178,0,0,3,0.526200318
37,121,2.15,0.9209,2.3346,1,2.15,2,0.526200318
63,-153,-4.321,0.9211,-4.6911,-1,-4.321,1,0.526131428
63,31,1.277,0.9254,1.3799,0,0,2,0.524653626
29,-109,-2.3,0.9277,-2.4791,-1,-2.3,3,0.52386577
37,-7,-1.7133,0.9277,-1.8468,0,0,3,0.52386577
39,1,-4.3467,0.9277,-4.6852,-1,-4.3467,3,0.52386577
39,3,-0.47,0.9277,-0.5066,0,0,3,0.52386577
39,5,-2.1267,0.9277,-2.2923,-1,-2.1267,3,0.52386577
53,15,0.0933,0.9277,0.1006,0,0,3,0.52386577
51,17,2.1367,0.9277,2.3031,1,2.1367,3,0.52386577
41,23,5.93,0.9277,6.3918,1,5.93,3,0.52386577
71,27,0.0407,0.9277,0.0438,0,0,3,0.52386577
37,31,-1.7603,0.9277,-1.8974,0,0,3,0.52386577
35,37,-3.6903,0.9277,-3.9777,-1,-3.6903,3,0.52386577
23,113,-0.1667,0.9285,-0.1795,0,0,3,0.523592157
47,23,-2.3725,0.9318,-2.5461,-1,-2.3725,2,0.522465806
53,35,2.0543,0.9334,2.201,1,2.0543,3,0.52192103
-9,31,-1.6907,0.9351,-1.808,0,0,3,0.521343157
49,-119,-1.589,0.9377,-1.6946,0,0,1,0.520461245
49,-3,0.0623,0.9428,0.0661,0,0,3,0.518737973
55,-1,1.8435,0.945,1.9508,0,0,2,0.517997306
61,13,3.2575,0.945,3.4472,1,3.2575,2,0.517997306
